ModuleWeek	WeeklyTotal	Playlist	Week	Module	Chapter	Title	Time	Lesson	YouTube
12:46:40	02:59:57	Week 1 - Module 0	Week 1	Module 0	Syllabus	Welcome	00:17:04	Module 0.00	https://youtu.be/FfvhZSOm4zA
12:46:40	02:59:57	Week 1 - Module 0	Week 1	Module 0	Syllabus	Course Overview	00:01:29	Module 0.01	https://youtu.be/664rLCemWy0
12:46:40	02:59:57	Week 1 - Module 0	Week 1	Module 0	Syllabus	Course Logistics	00:02:13	Module 0.02	https://youtu.be/T8kOKG7WQwI
12:46:40	02:59:57	Week 1 - Module 0	Week 1	Module 0	Syllabus	Course Objectives	00:02:40	Module 0.03	https://youtu.be/pvlBMEwfgt0
12:46:40	02:59:57	Week 1 - Module 0	Week 1	Module 0	Syllabus	Course Readings	00:02:14	Module 0.04	https://youtu.be/fIqpNAEmvvc
12:46:40	02:59:57	Week 1 - Module 0	Week 1	Module 0	Syllabus	Course Modules	00:04:30	Module 0.05	https://youtu.be/fc4o4hrI65g
12:46:40	02:59:57	Week 1 - Module 0	Week 1	Module 0	Syllabus	Academic Integrity	00:01:36	Module 0.06	https://youtu.be/4trjFWWQ6JA
12:46:40	02:59:57	Week 1 - Module 0	Week 1	Module 0	Syllabus	Communications	00:01:51	Module 0.07	https://youtu.be/DNR229H5xIY
12:46:40	02:59:57	Week 1 - Module 0	Week 1	Module 0	Syllabus	Grading	00:03:07	Module 0.08	https://youtu.be/PZNnd6Jf640
12:46:40	02:59:57	Week 1 - Module 0	Week 1	Module 0	Syllabus	Late work	00:01:56	Module 0.09	https://youtu.be/vt2RNrsi2PA
12:46:40	02:59:57	Week 1 - Module 0	Week 1	Module 0	Syllabus	Responsibilites & Expectations	00:02:53	Module 0.10	https://youtu.be/znFZvD1wuzE
12:46:40	02:59:57	Week 1 - Module 0	Week 1	Module 0	Syllabus	Disabilities	00:02:02	Module 0.11	https://youtu.be/s1-cz09XO64
12:46:40	02:59:57	Week 1 - Module 0	Week 1	Module 0	Syllabus	Together	00:03:05	Module 0.12	https://youtu.be/bIRNLY4eeJU
02:13:17	02:59:57	Week 1 - Module 1	Week 1	Module 1	Chapter 1	Learning Objectives	00:03:45	Module 1.00	https://youtu.be/WOtsVT2XvIY
02:13:17	02:59:57	Week 1 - Module 1	Week 1	Module 1	Chapter 1	Overview	00:03:34	Module 1.01	https://youtu.be/DpONMqpblTY
02:13:17	02:59:57	Week 1 - Module 1	Week 1	Module 1	Chapter 1	Prairie Dogs & Tools	00:00:54	Module 1.01a	https://youtu.be/MGupSoHOWxE
02:13:17	02:59:57	Week 1 - Module 1	Week 1	Module 1	Chapter 1	Prairie Dogs	00:08:57	Module 1.01b	https://youtu.be/y1kXCh496U0
02:13:17	02:59:57	Week 1 - Module 1	Week 1	Module 1	Chapter 1	Tools	00:12:31	Module 1.01c	https://youtu.be/bqPY0NlOC50
02:13:17	02:59:57	Week 1 - Module 1	Week 1	Module 1	Chapter 1	Defining characteristics	00:15:04	Module 1.02	https://youtu.be/QFYqigjhM98
02:13:17	02:59:57	Week 1 - Module 1	Week 1	Module 1	Chapter 1	Defining tool	00:01:00	Module 1.03	https://youtu.be/09xz7gVHQ4o
02:13:17	02:59:57	Week 1 - Module 1	Week 1	Module 1	Chapter 1	Defining human	00:02:31	Module 1.04	https://youtu.be/gj1lKXLoGeA
02:13:17	02:59:57	Week 1 - Module 1	Week 1	Module 1	Chapter 1	How did the First Language Begin? The Mystery of the Pirahã	00:18:24	Module 1.04a	https://youtu.be/B5lzt42Tb20
02:13:17	02:59:57	Week 1 - Module 1	Week 1	Module 1	Chapter 1	Pictographic Theory	00:05:20	Module 1.05	https://youtu.be/c9A5JrgZIjY
02:13:17	02:59:57	Week 1 - Module 1	Week 1	Module 1	Chapter 1	Token Theory	00:12:41	Module 1.06	https://youtu.be/VhNAAFa4CZc
02:13:17	02:59:57	Week 1 - Module 1	Week 1	Module 1	Chapter 1	Rebus Principle for names	00:09:34	Module 1.07	https://youtu.be/c8wgKxV2A0w
02:13:17	02:59:57	Week 1 - Module 1	Week 1	Module 1	Chapter 1	Rebus Principle	00:11:40	Module 1.08	https://youtu.be/PxXA3uDSz6g
02:13:17	02:59:57	Week 1 - Module 1	Week 1	Module 1	Chapter 1	Acrophonic Principle	00:17:37	Module 1.09	https://youtu.be/OhHld1-omok
02:13:17	02:59:57	Week 1 - Module 1	Week 1	Module 1	Chapter 1	Acrophonic Principle – Example 1	00:03:40	Module 1.10	https://youtu.be/p41TjaTXldA
02:13:17	02:59:57	Week 1 - Module 1	Week 1	Module 1	Chapter 1	Acrophonic Principle – Example 2	00:06:05	Module 1.11	https://youtu.be/LARAd9tAWzw
03:01:40	03:01:40	Week 2 - Module 1	Week 2	Module 1	Chapter 2	Misunderstanding Chinese	00:03:32	Module 1.12	https://youtu.be/RbBmoFXbEu4
03:01:40	03:01:40	Week 2 - Module 1	Week 2	Module 1	Chapter 2	Universal Language	00:06:04	Module 1.12a	https://youtu.be/4j8sM132NsM
03:01:40	03:01:40	Week 2 - Module 1	Week 2	Module 1	Chapter 2	Writing is a Technology	00:03:25	Module 1.13	https://youtu.be/D8G9jYG73nw
03:01:40	03:01:40	Week 2 - Module 1	Week 2	Module 1	Chapter 2	System of symbols	00:03:13	Module 1.14	https://youtu.be/AfJy9UENdBM
03:01:40	03:01:40	Week 2 - Module 1	Week 2	Module 1	Chapter 2	Symbol conventions	00:13:03	Module 1.15	https://youtu.be/KcT-EuyoW0w
03:01:40	03:01:40	Week 2 - Module 1	Week 2	Module 1	Chapter 2	Convention-free symbols	00:11:14	Module 1.16	https://youtu.be/efkxM9c2vhU
03:01:40	03:01:40	Week 2 - Module 1	Week 2	Module 1	Chapter 2	Voyager Golden Record	00:14:40	Module 1.17	https://youtu.be/jqSzritDRHI
03:01:40	03:01:40	Week 2 - Module 1	Week 2	Module 1	Chapter 2	We decoded NASA’s messages to aliens by hand	00:08:53	Module 1.17a	https://youtu.be/RRuovINxpPc
03:01:40	03:01:40	Week 2 - Module 1	Week 2	Module 1	Chapter 2	Voyager 1 and 2 – UPDATE Narrated Documentary	00:19:47	Module 1.17b	https://youtu.be/xZIB8vauWSI
03:01:40	03:01:40	Week 2 - Module 1	Week 2	Module 1	Chapter 2	The 116 images NASA wants aliens to see	00:05:05	Module 1.17c	https://youtu.be/NAN1kt4SG9E
03:01:40	03:01:40	Week 2 - Module 1	Week 2	Module 1	Chapter 2	Communicating with the Future	00:06:07	Module 1.18	https://youtu.be/AhD4IKtErxQ
03:01:40	03:01:40	Week 2 - Module 1	Week 2	Module 1	Chapter 2	Waste Isolation Pilot Plant Overview	00:02:31	Module 1.18a	https://youtu.be/kZYQIXd1lkk
03:01:40	03:01:40	Week 2 - Module 1	Week 2	Module 1	Chapter 2	Talking to the Future	00:04:01	Module 1.18b	https://youtu.be/T-r1L32zUB8
03:01:40	03:01:40	Week 2 - Module 1	Week 2	Module 1	Chapter 2	Blissymbolics	00:23:57	Module 1.19	https://youtu.be/g2holWqnooo
03:01:40	03:01:40	Week 2 - Module 1	Week 2	Module 1	Chapter 2	Mr. Symbol Man	00:49:46	Module 1.19a	https://youtu.be/HAjOJFEFbuI
03:01:40	03:01:40	Week 2 - Module 1	Week 2	Module 1	Chapter 2	Review	00:06:22	Module 1.20	https://youtu.be/rbhkmKxvoPM
